database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
IDIGBIO_3569,pulvillophylus rossi,-31.62314,117.64027,1ce2c00a-2f58-4109-8fa8-4503a36c7836,preservedspecimen,15/09/1962,western australia,5 mi w of kellerberrin,NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_3570,pulvillophylus rossi,-31.62314,117.64027,f5279b39-e0b3-4a98-9202-4490adf5f538,preservedspecimen,15/09/1962,western australia,5 mi w of kellerberrin,NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_3571,pulvillophylus rossi,-31.62314,117.64027,41902a85-6205-4ac1-99a3-5e7289dfa7a6,preservedspecimen,15/09/1962,western australia,5 mi w of kellerberrin,NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_3572,pulvillophylus rossi,-31.62314,117.64027,d7dca865-89c7-4b8c-8120-fc4565ad659b,preservedspecimen,15/09/1962,western australia,5 mi w of kellerberrin,NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_3573,"cyrtorhinus lividipennis reuter, 1884",14.58333,120.96667,9a288dfd-8df4-4f50-8e02-c3eb6b43df88,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_3574,"cyrtorhinus lividipennis reuter, 1884",14.58333,120.96667,dc348a6a-1f53-4db7-8f3d-8f0bcd83ef7f,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_3575,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,40fecbc1-690a-40bc-be3c-9bdfaf3a3e94,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_3576,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,d700ec9f-671d-4444-8a66-7856c3db7e37,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_3578,sthenaridea rufescens,NA,NA,2506958a-ba30-4092-9804-feddc328a99e,preservedspecimen,11/05/1965,albay province,"libon, caguscos",NA,NA,l. m. torrevillas,philippines,none,1965
IDIGBIO_3582,creontiades dilutus,-32.13334,134.8333,1393b4c3-f760-4f98-8caf-2156a689a02e,preservedspecimen,03/05/1968,south australia,67 miles e of ceduna,NA,10000,"common|, i.f.b.|upton|, m.s.",australia,NA,1968
IDIGBIO_3583,protemiris distichi,-33.72415,123.1123,2b73119e-a1d9-4c79-bc36-658b2768afff,preservedspecimen,25/11/1999,western australia,6.5 km ne of fisheries road on balladonia road,NA,100,"r.t. schuh, g. cassis, and r. silveira",australia,none,1999
IDIGBIO_3587,protemiris grevilleae,-23.79361,132.35888,fc3c36ab-6e17-4dc6-b65e-aec2b2abe1d7,preservedspecimen,04/11/2001,northern territory,jct of namatjira drive and gosse bluff track,NA,10,"cassis, schuh, schwartz, silveira, wall",australia,none,2001
IDIGBIO_3588,undetermined,13.30525,123.68836,8d9af127-966b-4d4c-aeb6-aa6f3ec6c212,preservedspecimen,10-Mar-16,albi,barungi mariroc,NA,NA,siler brachymeles expedition 1,philippines,city of tabaco,NA
IDIGBIO_3591,creontiades dilutus,-25.41667,135.283341,95c83480-7c8f-4652-9d0b-c6075cc7e393,preservedspecimen,29/09/1972,northern territory,18km ne of andado hs.,NA,10000,"upton, m.s.",australia,NA,1972
IDIGBIO_3598,creontiades dilutus,-31.983333,115.8,2f384159-47f6-47f2-9826-c9e4f67864cc,preservedspecimen,31/10/1951,western australia,nedlands,NA,10000,"wallace, m.m.h.",australia,NA,1951
IDIGBIO_3600,myiomma basseti,-27.316667,152.75,b782e539-afb7-4c79-bf68-7a916e62612f,preservedspecimen,01/04/1987,queensland,"basset site, mt glorious",NA,NA,NA,australia,NA,1987
IDIGBIO_3606,halticus minutus,13.3056,123.687,96edf0ba-13d4-4534-a070-74c03290f4d1,preservedspecimen,05-Mar-16,albi,barungi mariroc,NA,NA,siler brachymeles expedition 1,philippines,city of tabaco,NA
IDIGBIO_3609,zanchius gubernator,7.99944,80.78472,df135d3e-4b0d-4f3a-99c6-3eb7ec2063b5,preservedspecimen,09/04/1999,central prov.,"6 km n of sigiriya, rd. b294",NA,NA,t.j. henry & a. wijisekara,sri lanka,none,1999
IDIGBIO_3659,sthenaridea piceonigra,-6.58916,106.79305,cbe0598e-c57b-4f4a-b336-201aba42b10e,preservedspecimen,01/12/1965,java,bogor,NA,NA,j. stusak,indonesia,none,1965
IDIGBIO_3663,creontiades dilutus,-15.76667,128.733307,a5d2078e-2c68-49b7-a073-6d0cf073bb83,preservedspecimen,18/09/1968,western australia,kununurra (general),NA,10000,"michael, p.j.",australia,NA,1968
IDIGBIO_3673,monalocoris sp.,15.72932,121.40385,0953f5c5-efcb-44cf-8a25-81c41ce70b99,preservedspecimen,29-Feb-16,aurora,barungi punglo,NA,NA,siler brachymeles expedition 1,philippines,maria aurora,NA
IDIGBIO_3675,creontiades dilutus,-16.41667,130.966675,0a2363ca-9d26-40fe-8209-eb568c56b894,preservedspecimen,15/08/1973,northern territory,6.4 km wsw of victoria river downs,NA,10000,"kelsey, l.p.",australia,NA,1973
IDIGBIO_3677,ausejanus meridionalis,NA,NA,124e5ad3-1980-43bf-84ec-72ce8e01acb1,preservedspecimen,21-Mar-09,new south wales,koscuizko national park,NA,NA,"tatarnic, n",australia,NA,NA
