database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_259,Miridae,-33.41667,149.5833,4893161696,PRESERVED_SPECIMEN,17/10/1966,New South Wales,Bathurst,Fletcher,NA,NA,NA,NA,NA,1966
GBIF_263,Miridae,-34.23333,150.916702,4893160944,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_272,Miridae,-37.06667,147.9833,4893158797,PRESERVED_SPECIMEN,10/01/1990,Victoria,Alpine National Park,Fletcher,NA,NA,NA,NA,NA,1990
GBIF_275,Miridae,-33.41667,149.5833,4893157956,PRESERVED_SPECIMEN,17/10/1966,New South Wales,Bathurst,Fletcher,NA,NA,NA,NA,NA,1966
GBIF_283,Miridae,-33.4,151.35,4893155446,PRESERVED_SPECIMEN,10/01/1955,New South Wales,Narara G.C.E.S.,Fletcher,NA,NA,NA,NA,NA,1955
GBIF_287,Miridae,-34.23333,150.916702,4893154380,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_288,Miridae,-33.283329,149.100006,4893153620,PRESERVED_SPECIMEN,20/02/1998,New South Wales,Orange,Fletcher,NA,NA,NA,NA,NA,1998
GBIF_292,Miridae,-33.9,151.1333,4893153298,PRESERVED_SPECIMEN,23/10/1988,New South Wales,Dulwich Hill,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_294,Miridae,-31.55,159.083333,4893152923,PRESERVED_SPECIMEN,15/08/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
GBIF_296,Miridae,-31.13333,151.7667,4893152631,PRESERVED_SPECIMEN,21/03/1984,New South Wales,32km E of Corinda,Fletcher,NA,NA,NA,NA,NA,1984
GBIF_310,Miridae,-34.21667,150.5333,4893147982,PRESERVED_SPECIMEN,15/03/1985,New South Wales,Thirlmere Lakes National Park,Fletcher,NA,NA,NA,NA,NA,1985
GBIF_314,Miridae,-29.96667,146.8667,4893146704,PRESERVED_SPECIMEN,21/04/1997,New South Wales,Brewarrina,Fletcher,NA,NA,NA,NA,NA,1997
GBIF_315,Miridae,-31.36667,147.6667,4893146699,PRESERVED_SPECIMEN,21/03/1984,New South Wales,40km N of Warren,Fletcher,NA,NA,NA,NA,NA,1984
GBIF_317,Miridae,-34.23333,150.916702,4893145376,PRESERVED_SPECIMEN,12/11/1988,New South Wales,Darkes Forest,Fletcher,NA,NA,NA,NA,NA,1988
GBIF_323,Miridae,-30.678888,147.683609,4893144476,PRESERVED_SPECIMEN,28/10/1985,New South Wales,Macquarie Marshes,Fletcher,NA,NA,NA,NA,NA,1985
GBIF_325,Miridae,-31.55,159.083333,4893144390,PRESERVED_SPECIMEN,23/10/1991,New South Wales,Lord Howe Island,Elias,NA,NA,NA,NA,NA,1991
