database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
GBIF_1117,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338490,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1118,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338489,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1119,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338488,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1120,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338487,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1121,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338486,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1122,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863338485,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1123,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863338463,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1124,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863338462,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1125,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863338461,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1126,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863338460,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1127,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863338459,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1128,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863338457,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1129,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863338456,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
